timestamp,open,high,low,close
42467,109.732,109.903,107.663,108.329
42468,108.33,109.098,108,108.079
42471,108.257,108.441,107.603,107.917
42472,107.917,108.787,107.834,108.579
42473,108.58,109.405,108.494,109.328
42474,109.33,109.547,108.87,109.339
42475,109.34,109.736,108.581,108.738
42478,107.951,108.988,107.853,108.854
42479,108.854,109.487,108.76,109.249
42480,109.249,109.879,108.738,109.76
42481,109.755,109.897,109.285,109.415
42482,109.423,111.808,109.225,111.793
42485,111.571,111.58,110.812,111.191
42486,111.191,111.477,110.638,111.272
42487,111.273,111.752,110.997,111.507
42488,111.511,111.884,107.84,108.145
42489,108.149,108.15,106.248,106.282
42492,106.685,106.819,106.12,106.416
42493,106.419,107.458,105.51,106.848
42494,106.854,107.363,106.223,106.963
42495,106.96,107.498,106.768,107.256
42496,107.253,107.421,106.42,107.094
42499,107.252,108.601,107.178,108.382
42500,108.388,109.373,108.24,109.273
42501,109.279,109.29,108.332,108.437
42502,108.441,109.43,108.199,108.94
42503,108.943,109.493,108.491,108.633
42506,108.553,109.103,108.479,109.059
42507,109.058,109.67,108.808,109.116
42508,109.111,110.257,108.7,110.119
42509,110.12,110.385,109.664,109.931
42510,109.931,110.59,109.815,110.097
42513,110.203,110.23,109.07,109.272
42514,109.272,110.129,109.131,110.026
42515,110.026,110.449,109.833,110.18
42516,110.18,110.231,109.381,109.681
42517,109.681,110.447,109.444,110.214
42520,110.72,111.45,110.608,110.946
42521,110.946,111.352,110.473,110.736
42522,110.741,110.832,109.01,109.545
42523,109.545,109.554,108.49,108.842
42524,108.842,109.137,106.46,106.532
42527,106.678,107.656,106.403,107.529
42528,107.538,107.904,107.13,107.279
42529,107.283,107.385,106.565,106.91
42530,106.906,107.2,106.24,107.024
42531,107.028,107.261,106.535,106.91
42534,106.726,106.764,105.711,106.022
42535,106.03,106.422,105.6,106.036
42536,106.035,106.397,105.429,105.877
42537,105.877,105.96,103.545,104.355
42538,104.355,104.83,104.035,104.11
42541,104.781,104.845,103.73,103.897
42542,103.893,105.08,103.567,104.68
42543,104.682,104.976,104.29,104.7
42544,104.707,106.84,104.131,106.062
42545,106.062,106.133,98.989,102.19
42548,102.246,102.478,101.394,102.025
42549,102.025,102.841,101.54,102.609
42550,102.611,103.021,102.133,102.818
42551,102.885,103.395,102.328,103.183
42552,103.183,103.262,102.412,102.518
42555,102.619,102.804,102.41,102.545
42556,102.549,102.586,101.43,101.632
42557,101.635,101.643,100.17,101.123
42558,101.126,101.254,100.558,100.683
42559,100.684,101.267,99.996,100.5
42562,100.652,102.894,100.53,102.674
42563,102.671,104.987,102.417,104.678
42564,104.7,104.878,103.897,104.09
42565,104.09,105.937,103.961,105.25
42566,105.25,106.317,104.62,104.651
42569,105.54,106.33,105.25,106.247
42570,106.245,106.533,105.618,106.183
42571,106.183,107.447,105.798,107.153
42572,107.154,107.494,105.386,105.913
42573,105.913,106.4,105.56,106.149
42576,106.346,106.726,105.7,105.777
42577,105.775,105.788,103.955,104.706
42578,104.702,106.546,104.65,105.152
42579,105.153,105.503,103.338,104.806
42580,104.804,105.623,101.938,102.047
42583,102.471,102.71,102.074,102.4
42584,102.399,102.86,100.642,101.034
42585,101.037,101.571,100.709,101.289
42586,101.289,101.67,100.827,101.185
42587,101.184,102.062,100.834,101.821
42590,102.228,102.655,101.87,102.45
42591,102.44,102.529,101.757,101.896
42592,101.896,101.97,100.933,101.175
42593,101.184,102.054,100.983,101.891
42594,101.893,102.272,100.82,101.25
42597,101.251,101.46,100.846,101.2
42598,101.198,101.291,99.516,100.28
42599,100.28,101.164,99.915,99.986
42600,99.984,100.506,99.61,100.082
42601,100.087,100.46,99.979,100.21
42604,100.462,100.934,100.185,100.347
42605,100.361,100.4,99.91,100.291
42606,100.291,100.609,100.065,100.448
42607,100.452,100.616,100.262,100.554
42608,100.557,101.944,100.052,101.81
42611,101.934,102.393,101.8,101.999
42612,101.997,103.136,101.717,102.944
42613,102.945,103.532,102.825,103.324
42614,103.325,103.998,103.029,103.184
42615,103.19,104.32,102.794,103.975
42618,104.056,104.074,103.12,103.436
42619,103.437,103.808,101.899,102.101
42620,102.1,102.109,101.19,101.701
42621,101.7,102.6,101.39,102.376
42622,102.383,103.056,101.949,102.67
42625,102.369,102.668,101.55,101.857
42626,101.859,102.748,101.4,102.5
42627,102.51,103.359,102.21,102.461
42628,102.463,102.755,101.727,101.836
42629,101.858,102.463,101.74,102.27
42632,102.247,102.415,101.546,101.837
42633,101.838,102.064,101.517,101.718
42634,101.724,102.79,100.256,100.3
42635,100.342,100.931,100.068,100.824
42636,100.824,101.245,100.64,101.05
42639,100.985,101.11,100.209,100.325
42640,100.324,100.988,100.06,100.369
42641,100.366,100.818,100.223,100.795
42642,100.797,101.842,100.72,101.188
42643,101.186,101.781,100.72,101.32
42646,101.454,101.686,101.173,101.671
42647,101.671,102.967,101.618,102.826
42648,102.828,103.669,102.639,103.477
42649,103.481,104.163,103.31,103.953
42650,103.953,104,102.825,102.893
42653,103.073,103.788,102.778,103.661
42654,103.661,104.072,103.14,103.457
42655,103.451,104.484,103.245,104.264
42656,104.262,104.636,103.31,103.624
42657,103.625,104.479,103.57,104.146
42660,104.249,104.372,103.733,103.853
42661,103.85,104.202,103.642,103.878
42662,103.874,103.96,103.14,103.373
42663,103.371,104.105,103.303,103.997
42664,103.998,104.207,103.489,103.8
42667,103.964,104.376,103.685,104.322
42668,104.321,104.877,104.085,104.158
42669,104.16,104.62,103.987,104.55
42670,104.548,105.349,104.268,105.254
42671,105.251,105.532,104.44,104.694
42674,104.615,105.233,104.486,104.849
42675,104.849,105.117,103.768,103.993
42676,103.993,104.168,102.99,103.341
42677,103.345,103.47,102.539,102.922
42678,102.917,103.354,102.805,103.089
42681,103.845,104.632,103.799,104.532
42682,104.54,105.241,104.26,105.11
42683,105.109,105.891,101.157,105.637
42684,105.65,106.949,104.926,106.78
42685,106.777,106.934,105.99,106.635
42688,106.792,108.543,106.69,108.274
42689,108.279,109.335,107.73,109.042
42690,109.042,109.757,108.75,108.875
42691,108.869,110.343,108.51,110.194
42692,110.209,110.951,109.76,110.874
42695,110.921,111.364,110.42,110.8
42696,110.798,111.357,110.23,111.107
42697,111.114,112.974,110.81,112.465
42698,112.468,113.533,112.37,113.303
42699,113.302,113.9,112.53,113.229
42702,112.869,112.971,111.32,111.83
42703,111.823,113.339,111.595,112.506
42704,112.498,114.541,112.03,114.37
